Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112049107,anillin isoform X1,scra,1742.845886,2.837143611,6.20E-185,-2.837143611
LOC112049064,targeting protein for Xklp2-like,Hrs,1031.947811,5.024339863,4.79E-183,-5.024339863
LOC112049537,protein abnormal spindle,asp,972.6394054,3.8278929,1.89E-182,-3.8278929
LOC112043433,probable E3 ubiquitin-protein ligase sinah isoform X2,LOC112043433,946.0064681,-3.963523618,2.12E-180,3.963523618
LOC112046232,ABC transporter G family member 20,osy,4249.033779,-5.35679348,3.77E-178,5.35679348
LOC112051649,putative Phosphatidylinositol 3-and 4-kinase,LOC112051649,3285.114849,9.022050881,1.77E-177,-9.022050881
LOC112054278,pollen-specific leucine-rich repeat extensin-like protein 2,CG8927,8589.010005,-8.938749319,3.06E-177,8.938749319
LOC112053058,atrial natriuretic peptide receptor 1-like isoform X1,CG31183,997.272029,-3.404771559,1.05E-176,3.404771559
LOC112043036,Major facilitator superfamily domain-containing protein 6-A,CG31663,2457.419834,-4.500721542,3.05E-176,4.500721542
LOC112054273,activating signal cointegrator 1 complex subunit 2 homolog,Cpr97Eb,7542.535951,-6.659563391,2.67E-174,6.659563391
LOC112051359,prisilkin-39-like,LOC112051359,25264.41336,-8.35560954,2.59E-173,8.35560954
LOC112046562,"myosin heavy chain, non-muscle isoform X1",Mhc2,106106.7594,-2.528406529,1.42E-171,2.528406529
LOC112051957,"protein Skeletor, isoforms B/C isoform X1",CG34355,616.0779795,-6.598408023,2.47E-171,6.598408023
LOC112048194,mucin-5AC isoform X2,Cda5,19330.6379,-4.881810558,4.23E-171,4.881810558
LOC112048334,mucin-5AC-like isoform X1,CG3777,43734.20779,-3.360499607,7.08E-170,3.360499607
LOC112044964,putative cuticle protein,LOC112044964,2711.030348,-9.592096325,4.62E-169,9.592096325
LOC112051791,laccase-2-like,stw,4310.614012,-9.253870008,8.33E-166,9.253870008
LOC112051992,LHFPL tetraspan subfamily member 3 protein,Tmhs,1986.491276,-2.585762643,1.73E-165,2.585762643
LOC112046296,insulin-like growth factor 2 mRNA-binding protein 1 isoform X3,Imp,12500.87383,1.485799148,4.73E-165,-1.485799148
LOC112047825,neprilysin-2 isoform X1,Nep2,5747.025154,3.769117935,7.03E-165,-3.769117935
LOC112052241,venom serine carboxypeptidase-like,CG4572,1101.443324,6.567401097,8.77E-165,-6.567401097
LOC112050138,"protein Skeletor, isoforms D/E isoform X1",Skeletor,11275.36947,-8.210658737,9.67E-165,8.210658737
LOC112049944,"glucose dehydrogenase [FAD, quinone]-like",CG6142,5352.006153,7.252627956,1.80E-164,-7.252627956
LOC112053528,"probable citrate synthase 2, mitochondrial",kdn,1454.589643,-2.038318075,1.89E-164,2.038318075
LOC112048559,high mobility group protein HMGI-C-like,LOC112048559,15495.70683,2.051994968,6.57E-164,-2.051994968
LOC112050296,ABC transporter G family member 23 isoform X1,snu,4366.272161,-3.644353106,9.06E-164,3.644353106
LOC112055365,uncharacterized LOC106106657 precursor,CG8420,7396.8682,5.110410724,1.77E-162,-5.110410724
LOC112046502,"probable aconitate hydratase, mitochondrial",mAcon1,4134.350199,-1.613115813,1.96E-162,1.613115813
LOC112054714,membrane-associated progesterone receptor component 1-like,MSBP,849.290982,-3.833557951,9.00E-162,3.833557951
LOC112049694,endocuticle structural glycoprotein ABD-4-like,Cpr49Aa,1117.395558,-8.906152499,4.79E-161,8.906152499
LOC112044055,probable nuclear hormone receptor HR3 isoform X1,Hr46,10372.80792,4.089388663,5.52E-161,-4.089388663
LOC112056414,tubulin alpha chain,alphaTub84B,531410.8073,-2.859531775,1.03E-157,2.859531775
LOC112046440,integumentary mucin C.1-like,CG12947,8550.475573,-13.08221378,7.40E-157,13.08221378
LOC112046018,flocculation protein FLO11 isoform X1,CG16786,6299.803748,2.86978823,2.69E-156,-2.86978823
LOC112053729,UDP-N-acetylhexosamine pyrophosphorylase,mmy,1874.861344,-4.240935359,3.36E-156,4.240935359
LOC112043849,uncharacterized protein LOC112043849,CG43386,13803.81277,-9.373676705,3.40E-156,9.373676705
LOC112057670,beta-parvin,parvin,2838.385236,-1.888202792,5.88E-156,1.888202792
LOC112049013,"glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial",GatB,3006.950969,-2.617311801,1.50E-155,2.617311801
LOC112047276,shootin-1 isoform X4,jvl,1312.082893,-2.047468464,9.38E-155,2.047468464
LOC112044396,mucin-5AC-like,CG13643,3378.791961,-3.346065473,1.12E-154,3.346065473
LOC112048533,perilipin-4-like isoform X15,LOC112048533,3897.000756,-2.703450657,3.66E-153,2.703450657
LOC112051691,dual oxidase maturation factor 1,mol,984.2454203,-3.564463861,2.79E-152,3.564463861
