Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC,eyespot
LOC112045775,protein Spindly,LOC112045775,647.8428518,-0.824738457,2.34E-14,0.824738457,NA
LOC112057752,transmembrane protease serine 9-like,CG4914,62.32701414,-2.120428277,2.57E-14,2.120428277,NA
LOC112045785,DNA mismatch repair protein Msh2,spel1,1023.586613,-0.777412354,2.75E-14,0.777412354,NA
LOC112044961,DNA-directed RNA polymerase III subunit RPC8,CG7339,345.9849051,0.928657885,2.91E-14,-0.928657885,NA
LOC112058081,Rho GTPase-activating protein 19,RhoGAP54D,476.9401854,-0.960119688,3.98E-14,0.960119688,NA
LOC112048448,rho GTPase-activating protein 21-B isoform X2,RhoGAP19D,4010.548313,0.411072728,5.20E-14,-0.411072728,NA
LOC112043599,nucleoporin NDC1,LOC112043599,970.7026684,-1.038534104,5.69E-14,1.038534104,NA
LOC112051279,zinc finger RNA-binding protein isoform X1,Zn72D,11196.25611,-0.38429593,6.73E-14,0.38429593,NA
LOC112053288,probable ATP-dependent RNA helicase DDX56,Hlc,2740.390848,-0.437115987,8.84E-14,0.437115987,NA
LOC112046874,zinc finger protein on ecdysone puffs-like isoform X3,CG8108,5689.172983,-0.444214406,1.01E-13,0.444214406,NA
LOC112050513,vacuolar protein sorting-associated protein 18 homolog,dor,829.4271521,0.479975472,1.16E-13,-0.479975472,NA
LOC112044372,rho GTPase-activating protein 11A-like,LOC112044372,306.501602,-1.148211534,1.45E-13,1.148211534,NA
LOC112046603,zinc finger protein 235-like,LOC112046603,349.0495648,0.773057325,1.61E-13,-0.773057325,NA
LOC112044845,cleavage and polyadenylation specificity factor 73,Cpsf73,1742.701893,-0.507290604,2.30E-13,0.507290604,NA
LOC112044366,tubulin--tyrosine ligase-like protein 12,TTLL12,1078.535811,-0.528990433,2.34E-13,0.528990433,NA
LOC112055336,reticulocyte-binding protein 2 homolog a-like,LOC112055336,654.0039685,0.712188223,2.57E-13,-0.712188223,NA
LOC112051115,"ferritin, lower subunit isoform X2",Fer2LCH,5573.00702,-0.668705072,2.58E-13,0.668705072,eyespot_down
LOC112055574,tyrosine-protein phosphatase non-receptor type 23,mop,2789.808888,-0.45278442,2.71E-13,0.45278442,NA
LOC112045452,cell division cycle protein 20 homolog,fzy,940.5611328,-1.20926633,3.10E-13,1.20926633,NA
LOC112047425,apoptotic chromatin condensation inducer in the nucleus-like,CG11034,5940.571277,0.316244212,3.10E-13,-0.316244212,NA
