Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112048439,chromodomain-helicase-DNA-binding protein Mi-2 homolog isoform X1,Chd3,10875.58303,2.288621848,5.46E-154,-2.288621848
LOC112051163,deoxyuridine 5'-triphosphate nucleotidohydrolase,dUTPase,1031.620598,2.729521718,2.05E-153,-2.729521718
LOC112057692,uncharacterized protein LOC112057692,LOC112057692,1017.707688,5.642316233,5.19E-151,-5.642316233
LOC112051619,protein ELYS isoform X2,Elys,2363.46588,2.719133284,4.11E-150,-2.719133284
LOC112045265,Interferon regulatory factor 9,LOC112045265,1730.842159,4.976232931,7.30E-150,-4.976232931
LOC112050503,extracellular serine/threonine protein CG31145 isoform X2,CG31145,4282.84687,-6.719181364,3.40E-149,6.719181364
LOC112051927,flocculation protein FLO11,CG15080,70141.41475,-9.230198713,1.64E-147,9.230198713
LOC112058143,mitotic spindle assembly checkpoint protein MAD2A,mad2,739.7289469,4.531335582,2.92E-147,-4.531335582
LOC112052778,hillarin,Hil,7757.721866,-4.750839336,3.67E-145,4.750839336
LOC112054900,centromere protein I-like,LOC112054900,830.3554776,3.801686939,1.41E-144,-3.801686939
LOC112051167,double-strand break repair protein MRE11,mre11,1722.669324,2.889155681,3.28E-144,-2.889155681
LOC112051144,importin subunit alpha-1-like,alphaKap2,1012.81255,5.876662005,1.82E-143,-5.876662005
LOC112043645,TKX27928.1 cuticular protein lCPAP1-B,CG14301,1494.050456,-6.387624374,1.53E-142,6.387624374
LOC112046830,RNA-binding protein MEX3B,CG11360,4053.525681,7.339611262,1.05E-141,-7.339611262
LOC112044769,ribonucleoside-diphosphate reductase large subunit,RnrL,4201.810322,2.920283184,2.70E-141,-2.920283184
LOC112050396,histone H2A.V,His2Av,7466.567294,1.575592787,9.56E-141,-1.575592787
LOC112048186,uncharacterized protein LOC112048186 isoform X1,IRSp53,8904.691227,-4.56772391,3.48E-140,4.56772391
LOC112043605,"uncharacterized protein LOC112043605, partial",CG7029,12146.08818,-2.57697318,4.06E-140,2.57697318
LOC112044372,rho GTPase-activating protein 11A-like,LOC112044372,604.8959935,5.711891751,6.19E-140,-5.711891751
LOC112045702,protein phosphatase 1 regulatory subunit 3C,Gbs-70E,537.4856123,-6.418674211,3.72E-138,6.418674211
LOC112052902,putative cuticle protein,LOC112052902,46770.60452,-12.68634951,9.74E-138,12.68634951
LOC112044889,phospholipase A1 member A-like,CG18641,2253.714552,-10.88766681,1.97E-137,10.88766681
LOC112047903,UDP-galactose 4-epimerase isoform X1,CG5854,2131.687376,2.740281999,2.92E-137,-2.740281999
LOC112048994,ell-associated factor Eaf,Eaf,1315.746336,-2.952960845,2.41E-136,2.952960845
LOC112047183,DNA replication licensing factor MCM4,dpa,1195.660056,3.250913821,2.88E-136,-3.250913821
LOC112052851,peptidyl-prolyl cis-trans isomerase-like,Cyp1,13077.43323,1.859343921,3.92E-135,-1.859343921
LOC112047180,transmembrane protein 209,CG6479,619.4984055,2.829971715,4.26E-135,-2.829971715
LOC112044358,DNA polymerase epsilon catalytic subunit A,DNApol-epsilon255,1141.882514,2.746776241,5.25E-135,-2.746776241
LOC112056193,heme peroxidase 2,DBLOX,15372.104,-9.448994,7.56E-135,9.448994
LOC112043009,"HIG1 domain family member 1A, mitochondrial-like",CG17734,539.9018341,-7.107300229,6.06E-134,7.107300229
LOC112043738,patched domain-containing protein 3,Ptr,18800.16191,-10.14042209,4.75E-132,10.14042209
LOC112055221,protein atonal homolog 8,net,620.666125,4.213035036,2.84E-131,-4.213035036
LOC112056283,"glucose dehydrogenase [FAD, quinone]",Gld,14331.74666,-9.525521593,2.10E-130,9.525521593
LOC112048625,O-acyltransferase like protein-like,CG4576,16757.28118,-14.53369471,1.12E-129,14.53369471
LOC112047607,lachesin isoform X1,Lac,3759.679113,2.414404238,5.74E-129,-2.414404238
LOC112054561,apolipoprotein D-like,GLaz,890145.9392,12.83053115,1.05E-128,-12.83053115
LOC112045555,serendipity locus protein alpha,Sry-alpha,844.9303124,6.887952939,2.05E-128,-6.887952939
LOC112051359,prisilkin-39-like,LOC112051359,14606.1226,-12.28003511,4.58E-128,12.28003511
LOC112058488,acidic leucine-rich nuclear phosphoprotein 32 family member B-like,LOC112058488,21337.07698,2.171854714,5.04E-128,-2.171854714
LOC112048767,glycine-rich cell wall structural protein,TwdlT,5943.393473,-12.4441267,4.14E-127,12.4441267
LOC112045044,rac GTPase-activating protein 1-like,tum,680.238345,5.158186638,1.37E-126,-5.158186638
LOC112057899,mucin-5AC isoform X1,Cht6,66960.38329,-4.968987096,2.97E-126,4.968987096
LOC112050169,nose resistant to fluoxetine protein 6-like,CG17707,16156.96925,-12.3448912,4.06E-126,12.3448912
LOC112050060,fez family zinc finger protein erm-like,sens,1316.991755,6.918211228,1.67E-125,-6.918211228
LOC112054515,RNA-binding protein 4.1 isoform X2,CG7903,4156.248013,1.909391711,1.70E-125,-1.909391711
LOC112055330,protein obstructor-E,Cpap3-d1,20808.6265,-13.43133474,1.74E-125,13.43133474
LOC112046045,Myosin-J heavy chain,LOC112046045,535.393079,4.196710717,4.93E-124,-4.196710717
LOC112047328,inner centromere protein A,Incenp,2593.266144,3.893291191,6.11E-124,-3.893291191
LOC112048703,N66 matrix protein-like,LOC112048703,1790.232062,8.540356505,2.37E-123,-8.540356505
LOC112047861,protein kintoun,LOC112047861,922.6287884,2.156504116,4.17E-123,-2.156504116
LOC112050082,nuclear pore complex protein Nup155,Nup154,1892.703728,3.007725194,6.47E-123,-3.007725194
LOC112046669,neural-cadherin-like isoform X1,CadN,1401.877593,5.721189942,5.65E-122,-5.721189942
LOC112043078,transmembrane protein 127-like,LOC112043078,948.8050564,-2.955259199,5.69E-120,2.955259199
LOC112055734,chromatin assembly factor 1 subunit A-like,Caf1-180,1339.646042,2.682161525,6.99E-120,-2.682161525
LOC112049730,uncharacterized protein LOC112049730,LOC112049730,1255.61916,5.567865336,1.18E-119,-5.567865336
LOC112045108,kinesin-like protein KIF23,pav,725.4912414,6.443406639,2.06E-119,-6.443406639
LOC112057641,bromodomain-containing protein DDB_G0280777-like,LOC112057641,12356.9395,-14.27495101,2.79E-119,14.27495101
LOC112046280,protein ABHD16A,CG1309,1493.392177,-2.50266727,8.73E-119,2.50266727
LOC112051894,uncharacterized protein LOC112051894,LOC112051894,6305.900089,-6.224149281,1.81E-117,6.224149281
LOC112052632,skin secretory protein xP2-like,Vajk3,475289.1882,-13.3202951,1.65E-116,13.3202951
LOC112053500,BAM18483.1  CG32036,CG32036,24962.24991,-15.11287788,2.27E-116,15.11287788
LOC112053200,DNA replication licensing factor Mcm3,Mcm3,1186.627818,3.04550312,9.73E-116,-3.04550312
LOC112050906,general transcriptional corepressor trfA-like,LOC112050906,7661.574559,6.353588419,1.63E-115,-6.353588419
LOC112054455,cysteine dioxygenase type 1,CG5493,549.4221676,-7.036363267,1.63E-115,7.036363267
LOC112044451,replication protein A 32 kDa subunit,RPA2,526.2884601,3.195831932,1.66E-115,-3.195831932
LOC112043015,uncharacterized protein LOC112043015 isoform X1,LOC112043015,1118863.955,-20.37101955,1.80E-115,20.37101955
LOC112042966,DNA replication licensing factor Mcm7,Mcm7,2163.214772,3.453497032,3.16E-115,-3.453497032
LOC112057837,tethering factor for nuclear proteasome STS1,CG5199,1023.567349,2.826598294,9.76E-115,-2.826598294
LOC112046971,cadherin-89D isoform X2,Cad89D,44778.79541,-8.923124896,1.64E-114,8.923124896
LOC112052870,centromere-associated protein E-like isoform X1,mud,4411.236818,5.373927309,5.95E-114,-5.373927309
LOC112054589,dual specificity protein kinase TTK,ald,635.0917896,4.091807868,1.38E-113,-4.091807868
LOC112053386,protein CIP2A homolog,CG12702,835.0767441,5.691050133,1.94E-113,-5.691050133
LOC112051969,histone-lysine N-methyltransferase eggless isoform X2,egg,1482.222576,2.079381462,1.55E-111,-2.079381462
LOC112057965,centromere protein L,LOC112057965,595.2262184,5.106888179,1.79E-111,-5.106888179
LOC112052116,DNA replication factor Cdt1,dup,686.9710955,3.122011509,3.25E-111,-3.122011509
LOC112056838,odorant receptor 60,LOC112056838,374.7451619,-6.267825607,6.28E-111,6.267825607
LOC112047492,claspin-like,CG12173,4958.437306,2.772690573,1.25E-110,-2.772690573
LOC112047434,ATP-dependent RNA helicase p62,Rm62,16034.01236,2.0589254,3.21E-109,-2.0589254
LOC112051872,G2/mitotic-specific cyclin-B3 isoform X1,CycB3,2146.083792,7.418392098,1.43E-107,-7.418392098
LOC112043233,CCAAT/enhancer-binding protein-like,slbo,5281.382505,-10.82542644,1.83E-107,10.82542644
LOC112048143,kinetochore protein Spc25-like,LOC112048143,577.5685359,5.950612197,6.03E-107,-5.950612197
