Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112052598,uncharacterized protein LOC112052598 isoform X1,CG17127,51776.17774,6.860211595,4.41E-119,-6.860211595
LOC112051044,heat shock protein beta-1,CG14207,14848.57245,2.312183717,9.27E-119,-2.312183717
LOC112045751,basic proline-rich protein isoform X2,LOC112045751,20009.76547,8.744096027,1.23E-117,-8.744096027
LOC112058087,tyrosine-protein kinase-like otk,otk,1511.938814,-4.010408749,1.97E-117,4.010408749
LOC112049016,ejaculatory bulb-specific protein 3-like,CSP6,51102.03944,8.88554558,4.98E-117,-8.88554558
LOC112047614,fatty acyl-CoA reductase wat-like,wat,2173.994394,4.722360704,9.52E-117,-4.722360704
LOC112055423,alpha-tocopherol transfer protein-like,CG3823,2493.322834,4.408970952,1.18E-116,-4.408970952
LOC112054416,protein PF14_0175-like,tacc,1215.20783,-3.304483667,5.13E-116,3.304483667
LOC112057752,transmembrane protease serine 9-like,CG4914,2085.468961,-10.21023663,3.52E-115,10.21023663
LOC112047161,cyclin-dependent kinases regulatory subunit,Cks30A,1648.142031,-4.966080623,7.66E-115,4.966080623
LOC112055115,transcription factor SPT20 homolog,LOC112055115,6762.590041,10.10191678,1.09E-114,-10.10191678
LOC112046277,integrin-linked protein kinase,Ilk,2131.841385,1.738962609,3.05E-114,-1.738962609
LOC112054507,probable serine/threonine-protein kinase DDB_G0282963 isoform X1,Svil-,1717.001777,4.398431544,6.15E-114,-4.398431544
LOC112051691,dual oxidase maturation factor 1,mol,1067.793519,2.565808341,7.33E-114,-2.565808341
LOC112045714,venom protease-like,CLIPC1,665.8041203,-3.652260098,1.05E-113,3.652260098
LOC112051710,condensin complex subunit 1,Cap-D2,1182.232815,-4.990278031,1.14E-113,4.990278031
LOC112050109,probable chitinase 10,Cht3,1795.015489,-5.58416904,2.48E-113,5.58416904
LOC112057228,tubulin beta-1 chain-like,betaTub56D,100047.3729,4.100712565,4.21E-113,-4.100712565
LOC112048213,UNC93-like protein,CG2121,1340.634614,8.374340265,2.19E-111,-8.374340265
LOC112050519,"short-chain specific acyl-CoA dehydrogenase, mitochondrial-like isoform X1",Arc42,1838.952272,2.923270312,2.22E-111,-2.923270312
LOC112052044,peptide transporter family 1,CG2930,1881.117159,9.624438061,8.21E-111,-9.624438061
LOC112050322,larval cuticle protein A2B-like,Cpr92A,11611.18319,13.64161361,1.61E-109,-13.64161361
LOC112052382,lutropin-choriogonadotropic hormone receptor-like,rk,3987.460427,3.372002777,1.88E-109,-3.372002777
LOC112048099,delta(14)-sterol reductase,LBR,929.2829692,-4.527963157,4.94E-109,4.527963157
LOC112054561,apolipoprotein D-like,GLaz,961847.0849,-10.36887961,5.66E-109,10.36887961
LOC112048050,"probable medium-chain specific acyl-CoA dehydrogenase, mitochondrial isoform X1",Mcad,7230.64619,1.879989245,4.91E-108,-1.879989245
LOC112054991,protein regulator of cytokinesis 1-like,feo,1852.938026,-4.196382283,5.24E-108,4.196382283
LOC112054138,proton channel OtopLc isoform X1,OtopLa,5309.590282,3.223673932,6.15E-107,-3.223673932
LOC112046750,nose resistant to fluoxetine protein 6-like,CG32645,1725.347256,7.751125883,1.82E-106,-7.751125883
LOC112044142,fasciclin-2 isoform X1,Fas2,5079.60563,-1.893181032,3.74E-105,1.893181032
LOC112043738,patched domain-containing protein 3,Ptr,1725.16398,5.662150233,6.09E-105,-5.662150233
LOC112045721,phospholipid phosphatase 5-like,CG12746,700.5896144,3.48895314,6.09E-105,-3.48895314
LOC112043618,uncharacterized LOC106122463 precursor,neo,17698.03507,-5.064611397,3.70E-104,5.064611397
LOC112051828,uncharacterized protein LOC112051828 isoform X1,LOC112051828,18742.53246,2.217325908,1.46E-103,-2.217325908
LOC112049403,kinesin-like protein KIF20B,kinesin-A,1567.684856,-4.041811839,1.60E-103,4.041811839
LOC112056007,endocuticle structural glycoprotein ABD-4-like,Cpr65Az,21937.91284,14.8003094,2.71E-103,-14.8003094
LOC112057709,kinesin-like protein Klp61F,Klp61F,1734.591931,-5.178428254,7.39E-103,5.178428254
LOC112054162,cuticle protein 8-like,Cpr64Aa,9327.865431,13.37633475,7.71E-103,-13.37633475
LOC112057914,pre-mRNA-splicing factor CWC25-like isoform X1,LOC112057914,1936.543046,-6.607130461,9.20E-103,6.607130461
LOC112049888,zinc finger protein 84-like isoform X1,LOC112049888,3146.375412,2.909846435,1.01E-102,-2.909846435
LOC112051636,Pleckstrin-likey-like domain family B member 1,CG5004,3354.635793,1.952981471,1.86E-102,-1.952981471
LOC112050956,carboxypeptidase N subunit 2-like,LOC112050956,3582.027079,-4.361502589,2.97E-101,4.361502589
LOC112044249,protein rolling stone-like isoform X2,LOC112044249,875.5610227,6.794931973,3.31E-101,-6.794931973
LOC112045232,estradiol 17-beta-dehydrogenase 11-like,CG9265,9613.340295,3.564498367,4.83E-101,-3.564498367
LOC112050657,chitin binding domain 3 protein,CG42598,335.8490504,-4.912408471,6.29E-101,4.912408471
LOC112048035,WD repeat-containing protein 47 isoform X3,CG2812,3954.831207,2.204113887,1.16E-100,-2.204113887
LOC112048887,uncharacterized protein LOC112048887 isoform X1,LOC112048887,1365.231875,-2.849159298,1.58E-100,2.849159298
LOC112043091,phospholipase A1-like,CG13282,497.4089579,7.175674828,1.60E-100,-7.175674828
LOC112052624,dehydrogenase/reductase SDR family protein 7-like,CG7601,2692.574252,2.069805973,2.10E-100,-2.069805973
LOC112046967,cuticular protein RR-2,Cpr64Aa,727.4868627,6.155069141,2.39E-100,-6.155069141
LOC112047706,terminal nucleotidyltransferase 5C isoform X1,CG46385,2049.890115,2.48904942,2.56E-100,-2.48904942
LOC112052916,NA,NA,5479.800701,3.369280969,5.19E-100,-3.369280969
LOC112048831,NA,NA,4957.20049,-1.494292952,8.16E-100,1.494292952
LOC112046435,bilin-binding protein-like,LOC112046435,145071.1714,-3.302299744,1.98E-99,3.302299744
LOC112055674,mid1-interacting protein 1A,LOC112055674,1325.215229,2.57665408,8.45E-99,-2.57665408
LOC112046070,regulator of chromosome condensation isoform X2,Rcc1,3325.841662,-1.934150591,9.85E-99,1.934150591
LOC112055762,zinc finger protein 629-like isoform X1,mamo,1625.964303,-4.807556195,2.47E-98,4.807556195
LOC112047095,hemolin,LOC112047095,8760.727695,-6.732099521,3.75E-98,6.732099521
LOC112043638,LIM and senescent cell antigen-like-containing domain protein 1 isoform X1,stck,1360.49288,2.49316686,1.75E-97,-2.49316686
LOC112045155,titin isoform X1,LOC112045155,113023.6604,4.768950894,2.39E-97,-4.768950894
