Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112053778,3-hydroxy-3-methylglutaryl-coenzyme A reductase,Hmgcr,7611.120844,3.999444391,5.54E-229,-3.999444391
LOC112048559,high mobility group protein HMGI-C-like,LOC112048559,18934.51154,-2.57680938,1.27E-226,2.57680938
LOC112046692,amyloid-beta-like protein isoform X2,Appl,2839.391981,-3.031762526,9.21E-226,3.031762526
LOC112050954,uncharacterized protein LOC112050954,LOC112050954,3145.989768,-4.846442724,7.58E-225,4.846442724
LOC112048033,nuclear hormone receptor FTZ-F1 isoform X2,ftz-f1,1434.875658,5.569710543,5.29E-224,-5.569710543
LOC112049180,serine/arginine repetitive matrix protein 1,bif,3783.911528,-3.023863534,5.29E-221,3.023863534
LOC112045555,serendipity locus protein alpha,Sry-alpha,1123.784745,-5.721537658,4.87E-220,5.721537658
LOC112043710,protein aurora borealis,LOC112043710,840.0342954,-4.762279077,1.09E-219,4.762279077
LOC112046764,zinc finger protein jing homolog isoform X2,jing,2105.752732,-5.593011014,1.00E-216,5.593011014
LOC112043618,uncharacterized LOC106122463 precursor,neo,14203.67011,-4.786069294,1.06E-216,4.786069294
LOC112046045,Myosin-J heavy chain,LOC112046045,685.3694007,-5.42987628,1.37E-216,5.42987628
LOC112045222,cuticle protein 19.8 isoform X2,Cpr66D,22564.52629,12.2563962,2.00E-216,-12.2563962
LOC112045745,elongation of very long chain fatty acids protein AAEL008004-like isoform X1,CG5326,12544.29675,10.42455976,9.19E-215,-10.42455976
LOC112046247,mushroom body large-type Kenyon cell-specific protein 1 isoform X1,Eip93F,3321.054541,-6.098336524,3.57E-214,6.098336524
LOC112046088,phospholipid transfer protein C2CD2L isoform X5,CG10737,4594.663798,5.553901818,6.36E-214,-5.553901818
LOC112045646,filamin-A isoform X1,jbug,4343.466421,5.102726201,9.52E-214,-5.102726201
LOC112054526,protein yellow-like,yel-h3,1139.688616,5.839917968,2.13E-212,-5.839917968
LOC112058551,chitin deacetylase 1,serp,75489.36863,3.980737367,2.68E-212,-3.980737367
LOC112054537,putative cuticle protein CPR149,CG1136,499.3022535,5.43356346,3.05E-212,-5.43356346
LOC112046833,flocculation protein FLO11,CG42327,1065.727561,2.915240814,7.61E-212,-2.915240814
LOC112049989,citron Rho-interacting kinase-like,sti,620.7101726,-4.483599181,9.59E-211,4.483599181
LOC112056323,cuticle protein 18.6-like,Cpr64Aa,156013.8386,17.91898798,1.00E-207,-17.91898798
LOC112052060,protein yellow-like,yel-e,2964.472054,6.444907156,3.76E-207,-6.444907156
LOC112054025,A disintegrin and metalloproteinase with thrombospondin motifs 7,AdamTS-B,42932.68569,4.189708128,1.05E-206,-4.189708128
LOC112044706,neurofilament heavy polypeptide-like,LOC112044706,10631.77233,2.355995706,3.45E-206,-2.355995706
LOC112058176,cuticle protein 19-like,Cpr62Bc,64665.52278,16.43944617,1.86E-205,-16.43944617
LOC112048461,connectin-like,Con,3804.182855,8.486427669,4.13E-204,-8.486427669
LOC112049107,anillin isoform X1,scra,4283.879767,-4.429799523,2.67E-203,4.429799523
LOC112046724,ankyrin repeat and LEM domain-containing protein 1-like,CG8679,744.5023836,-4.658671297,5.28E-203,4.658671297
LOC112053312,scavenger receptor class B member 1-like,SCRB6,4110.594042,9.764272924,3.08E-201,-9.764272924
LOC112054696,condensin complex subunit 3,LOC112054696,1701.415166,-3.746439607,3.45E-201,3.746439607
LOC112056193,heme peroxidase 2,DBLOX,2170.189493,6.244535384,8.91E-201,-6.244535384
LOC112055112,decaprenyl-diphosphate synthase subunit 1,qless,4370.157585,4.641558712,1.47E-198,-4.641558712
LOC112046978,glutathione S-transferase 1-1-like,GstD1,7714.985073,2.372272514,9.54E-198,-2.372272514
LOC112048355,thioredoxin domain-containing protein 3 homolog isoform X1,LOC112048355,14143.94787,5.757994772,2.58E-197,-5.757994772
LOC112058362,chromosome-associated kinesin KIF4,kinesin-4B,4466.84227,-3.892380679,6.41E-197,3.892380679
LOC112044372,rho GTPase-activating protein 11A-like,LOC112044372,806.4968835,-4.552563873,1.64E-196,4.552563873
LOC112048767,glycine-rich cell wall structural protein,TwdlT,21514.77549,13.91788086,2.36E-196,-13.91788086
LOC112053779,chaoptin,conv,3065.194803,3.320404995,2.69E-196,-3.320404995
LOC112046929,angiotensin-converting enzyme-like,LOC112046929,2138.706103,4.497600864,1.34E-195,-4.497600864
LOC112046412,adipocyte plasma membrane-associated protein-like,Hmu,5203.597256,2.044453599,9.77E-195,-2.044453599
LOC112056394,glycine-rich protein DOT1-like,LOC112056394,2406.891626,-8.242073754,2.86E-194,8.242073754
LOC112051791,laccase-2-like,stw,3604.908076,6.917824918,4.03E-194,-6.917824918
LOC112043917,formin-like protein 6 isoform X1,capu,2009.756819,-2.920380402,4.83E-194,2.920380402
LOC112057691,kinetochore protein NDC80 homolog,LOC112057691,802.1708134,-5.486178801,5.20E-194,5.486178801
LOC112051076,KPJ09368.1 putative phosphoenolpyruvate synthase,LOC112051076,1595.157283,6.650564614,1.19E-192,-6.650564614
LOC112050314,larval cuticle protein A2B-like,Ccp84Ad,29740.82782,13.41480657,3.36E-192,-13.41480657
LOC112043988,uncharacterized LOC101737518,LOC112043988,829.6143429,-5.053916239,5.38E-192,5.053916239
LOC112045887,origin recognition complex subunit 1-like,LOC112045887,700.4509845,-5.547069597,1.00E-191,5.547069597
LOC112043098,organic cation transporter protein isoform X2,CG6126,10960.72939,4.114152709,9.92E-189,-4.114152709
LOC112050169,nose resistant to fluoxetine protein 6-like,CG17707,1645.023887,8.712134494,1.41E-188,-8.712134494
LOC112050758,cathepsin O-like,Cp1,2708.263475,4.88845808,5.27E-188,-4.88845808
LOC112056638,cathepsin O-like,LOC112056638,4283.687456,4.374359863,1.10E-185,-4.374359863
LOC112045661,disks large-associated protein 5 isoform X2,mars,2284.891892,-3.935472388,1.14E-185,3.935472388
LOC112046067,nephrin isoform X1,sns,7458.677521,-4.802794851,1.14E-185,4.802794851
LOC112055477,probable sodium-coupled neutral amino acid transporter 6,mah,2062.277086,5.939199945,1.52E-185,-5.939199945
LOC112047162,cartilage oligomeric matrix protein,Tsp,7274.381618,6.246920801,3.37E-184,-6.246920801
LOC112045044,rac GTPase-activating protein 1-like,tum,917.6864179,-3.680877367,5.33E-183,3.680877367
LOC112058354,unc-112-related protein-like,Fit1,5345.684172,1.609857082,4.51E-182,-1.609857082
LOC112047239,protocadherin-like wing polarity protein stan,GPRSTN,8456.63634,-2.7416797,9.30E-182,2.7416797
LOC112051874,transcription factor SPT20 homolog isoform X2,CG8192,19599.20113,10.31092885,1.26E-181,-10.31092885
